"ID_INNPACT";"PROVISION_DATE";"PROVISION_VALUE_USD";"NOVAL";"PERCENTAGE_PROVISION"
42881;1-4-2021 00:00:00;-2.260209e+06;137418;0.00
42905;8-7-2020 00:00:00;-178521.0;137624;0.00
42905;1-1-2021 00:00:00;-106856.0;137624;0.00
42910;30-9-2018 00:00:00;-91667.00;127252;0.00
42910;31-12-2018 00:00:00;-91667.00;127252;0.00
42910;31-3-2019 00:00:00;-91650.00;127252;0.00
42910;30-6-2019 00:00:00;-121756.0;127252;0.00
42910;30-9-2019 00:00:00;-121756.0;127252;0.00
42910;31-12-2019 00:00:00;-121756.1;127252;0.00
42910;31-3-2020 00:00:00;-121756.1;127252;0.00
42910;1-9-2020 00:00:00;-121756.1;127252;0.00
42910;1-1-2021 00:00:00;-91502.62;127252;0.00
42911;30-9-2018 00:00:00;-458333.0;146279;0.00
42911;31-12-2018 00:00:00;-458333.0;146279;0.00
42911;31-3-2019 00:00:00;-458350.0;146279;0.00
42911;30-6-2019 00:00:00;-710244.0;146279;0.00
42911;30-9-2019 00:00:00;-710244.0;146279;0.00
42911;31-12-2019 00:00:00;-710243.9;146279;0.00
42911;31-3-2020 00:00:00;-710243.9;146279;0.00
42911;1-9-2020 00:00:00;-710243.9;146279;0.00
42911;1-1-2021 00:00:00;-533765.3;146279;0.00
42920;31-12-2019 00:00:00;-1.60459e+06;134596;0.00
42920;31-3-2020 00:00:00;-2.5e+06;134596;0.00
42920;1-9-2020 00:00:00;-2.5e+06;134596;0.00
42920;1-1-2021 00:00:00;-2.5e+06;134596;0.00
42920;1-4-2021 00:00:00;-2.5e+06;134596;0.00
42931;30-9-2018 00:00:00;-300000.6;141778;0.00
42933;30-9-2018 00:00:00;-102046.2;138819;0.00
42935;30-9-2018 00:00:00;-71611.20;138820;0.00
42945;8-7-2020 00:00:00;-250000.0;157357;0.00
42945;1-1-2021 00:00:00;-250000.0;157357;0.00
42945;1-4-2021 00:00:00;-250000.0;157357;0.00
43025;31-12-2018 00:00:00;-3.189292e+06;146259;0.00
43025;31-3-2019 00:00:00;-3.211378e+06;146259;0.00
43025;30-6-2019 00:00:00;-3.220299e+06;146259;0.00
43025;30-9-2019 00:00:00;-3.206937e+06;146259;0.00
43025;31-12-2019 00:00:00;-3.194389e+06;146259;0.00
43025;31-3-2020 00:00:00;-3.038814e+06;146259;0.00
43025;1-9-2020 00:00:00;-2.998882e+06;146259;0.00
43025;1-1-2021 00:00:00;-2.936814e+06;146259;0.00
43025;1-4-2021 00:00:00;-2.831032e+06;146259;0.00
43133;31-12-2018 00:00:00;-525502.3;154411;0.00
43133;31-3-2019 00:00:00;-525502.3;154411;0.00
43133;30-6-2019 00:00:00;-525502.3;154411;0.00
43133;30-9-2019 00:00:00;-525502.3;154411;0.00
43133;31-12-2019 00:00:00;-525502.3;154411;0.00
43133;31-3-2020 00:00:00;-525502.3;154411;0.00
43133;1-9-2020 00:00:00;-525502.3;154411;0.00
43133;1-1-2021 00:00:00;-525502.3;154411;0.00
43133;1-4-2021 00:00:00;-593330.9;154411;0.00
43134;31-12-2018 00:00:00;-394126.7;154412;0.00
43134;31-3-2019 00:00:00;-394126.7;154412;0.00
43134;30-6-2019 00:00:00;-394126.7;154412;0.00
43134;30-9-2019 00:00:00;-394126.7;154412;0.00
43134;31-12-2019 00:00:00;-394126.7;154412;0.00
43134;31-3-2020 00:00:00;-394126.7;154412;0.00
43134;1-9-2020 00:00:00;-394126.7;154412;0.00
43134;1-1-2021 00:00:00;-394126.7;154412;0.00
43134;1-4-2021 00:00:00;-326298.1;154412;0.00
43399;1-9-2020 00:00:00;-375000.0;164565;0.00
43399;1-1-2021 00:00:00;-1.23096e+06;164565;0.00
43399;19-3-2021 00:00:00;-1.5e+06;164565;0.00
43399;1-4-2021 00:00:00;-1.477153e+06;164565;0.00
43538;1-9-2020 00:00:00;-131975.0;147335;0.00
43538;1-1-2021 00:00:00;-713676.5;147335;0.00
43540;1-9-2020 00:00:00;-131975.0;156381;0.00
43540;1-1-2021 00:00:00;-713676.5;156381;0.00
43690;31-12-2019 00:00:00;-250000.0;160417;0.00
43690;31-3-2020 00:00:00;-1.3e+06;160417;0.00
43690;8-7-2020 00:00:00;-450000.0;160417;0.00
43690;1-9-2020 00:00:00;-2.7e+06;160417;0.00
43690;1-1-2021 00:00:00;-5.0e+06;160417;0.00
43690;1-4-2021 00:00:00;-5.0e+06;160417;0.00
43726;1-1-2021 00:00:00;-988180.8;160528;0.00
43726;1-4-2021 00:00:00;-988180.8;160528;0.00
43740;31-3-2020 00:00:00;-500000.0;169372;0.00
43740;1-9-2020 00:00:00;-2.0e+06;169372;0.00
43740;1-1-2021 00:00:00;-2.0e+06;169372;0.00
43740;1-4-2021 00:00:00;-2.0e+06;169372;0.00
43752;1-9-2020 00:00:00;-3.2e+06;173274;0.00
43752;1-1-2021 00:00:00;-5.0e+06;173274;0.00
43752;1-4-2021 00:00:00;-5.0e+06;173274;0.00
43993;1-1-2021 00:00:00;-611750.0;178730;0.00
