"ID_GROUP";"GROUP_NAME";"CREATION_DATE";"CREATED_BY";"MODIFICATION_DATE";"MODIFIED_BY"
34;"Phillip Capital";11-9-2018 19:08:03;"guillaume.marois";;
35;"ProCredit";11-9-2018 19:08:03;"guillaume.marois";;
36;"ProMujer";11-9-2018 19:08:03;"guillaume.marois";;
37;"Société Générale";11-9-2018 19:08:03;"guillaume.marois";;
38;"TBC Bank";11-9-2018 19:08:03;"guillaume.marois";;
39;"Te Creemos Holding";11-9-2018 19:08:03;"guillaume.marois";;
40;"Tunisie Leasing Group";11-9-2018 19:08:03;"guillaume.marois";;
41;"Union Bank";23-10-2018 10:52:51;"guillaume.marois";;
42;"Vision Fund";11-9-2018 19:08:03;"guillaume.marois";;
43;"Vitas Group";11-9-2018 19:08:03;"guillaume.marois";;
44;"WWB";11-9-2018 19:08:03;"guillaume.marois";;
46;"-";29-10-2018 10:18:01;"guillaume.marois";;
60;"Panacredit";10-12-2018 15:16:49;"guillaume.marois";;
62;"Factoring Total S.A";12-3-2019 19:56:57;"nawel.octave";;
63;"Select Africa Group Limited";15-7-2019 17:06:43;"nawel.octave";;
64;"EFC";20-8-2019 10:52:28;"nawel.octave";;
65;"PlatCorp Holdings Limited";20-8-2019 10:59:40;"nawel.octave";;
66;"Groupe Cofina";16-9-2019 12:11:48;"charlotte.juhel";;
67;"Grassland Finance";29-10-2019 17:52:42;"charlotte.juhel";;
68;"Mikro Kapital Group";2-12-2019 17:02:13;"charlotte.juhel";;
78;"Coris Group";6-3-2020 17:23:24;"charlotte.juhel";;
80;"Baobab";22-4-2020 11:22:11;"charlotte.juhel";;
81;"PFC";7-5-2020 15:40:49;"charlotte.juhel";;
82;"Inversiones Atlantida";3-6-2020 16:31:15;"charlotte.juhel";;
83;"Group Progreso Capital Holding";16-9-2020 16:51:42;"charlotte.juhel";;
84;"Lanka Bangla";16-9-2020 18:28:11;"charlotte.juhel";;
89;"Arohan";14-10-2020 13:18:55;"charlotte.juhel";;
91;"Sathapana";3-11-2020 10:13:06;"Marina.Batzeri";;
92;"Ecobank Transnational Incorporated";5-11-2020 16:47:20;"Marina.Batzeri";;
94;"Select";8-2-2021 10:18:32;"Marina.Batzeri";;
97;"Muthoot Papachan Group";11-2-2021 14:34:46;"Marina.Batzeri";;
99;"Orabank S.A.";13-8-2021 16:01:48;"Marina.Batzeri";;
100;"Orabank S.A.";13-8-2021 16:01:48;"Marina.Batzeri";;
102;"Funding Societies Asia Group (FSAG)";15-9-2021 14:30:05;"Marina.Batzeri";;
103;"Grupo Assa";17-9-2021 10:02:03;"Marina.Batzeri";;
104;"AccessHolding";17-9-2021 11:38:56;"Marina.Batzeri";;
105;"";17-9-2021 11:39:34;"Marina.Batzeri";;
