CCY_ISO,FX_RATE_DATE,FX_RATE,IMPORTATION_DATE,IMPORTED_BY
KGS,31-3-2019 00:00:00,68.74,27-5-2019 10:57:34,guillaume.marois
KGS,30-6-2019 00:00:00,68.74,3-6-2020 18:43:21,marco.putotto
KGS,30-9-2019 00:00:00,69.70,10-12-2019 16:29:45,Christophe.Fraulob
KGS,31-12-2019 00:00:00,69.64,27-2-2020 11:05:15,nawel.octave
KGS,31-3-2020 00:00:00,80.81,3-6-2020 19:22:17,marco.putotto
KGS,30-6-2020 00:00:00,75.98,7-9-2020 10:40:54,Kevin.Allamagbo
KGS,30-9-2020 00:00:00,79.60,24-11-2020 11:32:48,Kevin.Allamagbo
KHR,30-9-2019 00:00:00,4080.56,10-12-2019 16:29:45,Christophe.Fraulob
KHR,31-12-2019 00:00:00,4067.87,27-2-2020 11:05:15,nawel.octave
KZT,31-12-2017 00:00:00,332.71,6-8-2018 15:44:16,guillaume.marois
KZT,31-3-2018 00:00:00,319.08,6-8-2018 15:44:16,guillaume.marois
KZT,30-6-2018 00:00:00,341.20,24-10-2018 15:49:23,guillaume.marois
KZT,30-9-2018 00:00:00,339.33,13-11-2018 17:06:09,guillaume.marois
KZT,31-12-2018 00:00:00,381.03,11-2-2019 11:59:04,guillaume.marois
KZT,31-3-2019 00:00:00,318.68,27-5-2019 10:57:34,guillaume.marois
KZT,30-6-2019 00:00:00,318.68,3-6-2020 18:43:21,marco.putotto
KZT,30-9-2019 00:00:00,388.07,10-12-2019 16:29:45,Christophe.Fraulob
KZT,31-12-2019 00:00:00,382.92,27-2-2020 11:05:15,nawel.octave
KZT,31-3-2020 00:00:00,448.62,3-6-2020 19:22:17,marco.putotto
KZT,30-6-2020 00:00:00,405.73,7-9-2020 10:40:54,Kevin.Allamagbo
KZT,30-9-2020 00:00:00,432.89,24-11-2020 11:32:48,Kevin.Allamagbo
MDL,31-3-2020 00:00:00,18.30,3-6-2020 19:22:17,marco.putotto
